P_NAME,P_PERIOD,S_NAME,S_DEC,S_MAG,S_MASS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_LUMINOSITY,P_TYPE_TEMP,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
55 Cnc c,44.4175,55 Cnc,28.330818,5.96,0.91,5196.0,0.24142428,9.9064859,451.95192,Jovian,0.94,G,0.57705994,Hot,0,0.19669217,8.5133162,54.47572,0.241376
55 Cnc e,0.736539,55 Cnc,28.330818,5.96,0.91,5196.0,0.01544,2420.6184,1787.008,Superterran,0.94,G,0.57705994,Hot,0,0.2598972,1.9057,8.0791878,0.01544
61 Vir b,4.215,61 Vir,-18.311195,4.74,0.94,5577.0,0.050562447,319.27036,1074.0012,Superterran,0.96,G,0.79879197,Hot,0,0.25355145,2.1061683,5.085248,0.050201
61 Vir c,38.021,61 Vir,-18.311195,4.74,0.94,5577.0,0.2196315,17.0535,515.80897,Neptunian,0.96,G,0.79879197,Hot,0,0.22814035,4.4511957,18.116196,0.2175
61 Vir d,123.01,61 Vir,-18.311195,4.74,0.94,5577.0,0.505155,3.7635373,346.34605,Neptunian,0.96,G,0.79879197,Hot,0,0.37195088,5.1078157,22.883616,0.476
BD+20 594 b,41.6855,BD+20 594,20.599232,11.038,1.67,5766.0,0.27908623,14.830572,499.95899,Neptunian,1.08,G,1.1551402,Hot,0,0.30796205,2.5783,22.24796,0.27908623
BD-06 1339 b,3.8728,BD-06 1339,-5.994844,9.7,0.7,4324.0,0.0428,59.571932,707.79148,Superterran,0.59026756,K,0.10912625,Hot,0,0.23577592,2.8664188,8.5813561,0.0428
BD-06 1339 c,125.94,BD-06 1339,-5.994844,9.7,0.7,4324.0,0.45590175,0.6065834,220.65029,Jovian,0.59026756,K,0.10912625,Warm,0,0.41593589,8.47229,54.03076,0.435
BD-08 2823 b,5.6,BD-08 2823,-9.51668,9.88,0.5,4816.0,0.060675,68.263786,729.1933,Neptunian,0.71,K,0.24296922,Hot,0,0.20503107,3.6130979,12.71312,0.06
BD-08 2823 c,237.6,BD-08 2823,-9.51668,9.88,0.5,4816.0,0.692274,0.53520165,216.41573,Jovian,0.71,K,0.24296922,Warm,0,0.36057653,12.521925,104.88324,0.68
CoRoT-22 b,9.75598,CoRoT-22,6.219136,13.944,1.1,5939.0,0.092272734,171.65928,921.14439,Neptunian,1.14,G,1.4486106,Hot,0,0.15972958,4.87635,12.077464,0.092
CoRoT-7 b,0.85359163,CoRoT-7,-1.063033,11.668,0.82,5275.0,0.016479635,1759.7036,1650.0792,Superterran,0.83,G,0.47789742,Hot,0,0.2711924,1.6815,3.17828,0.016479635
CoRoT-7 c,3.698,CoRoT-7,-1.063033,11.668,0.82,5275.0,0.046,225.84944,987.64226,Superterran,0.83,G,0.47789742,Hot,0,0.22191743,2.8306203,8.4001941,0.046
CoRoT-8 b,6.21229,CoRoT-8,1.426452,14.8,0.88,5080.0,0.063,89.134092,782.80911,Jovian,0.77,K,0.35377321,Hot,0,0.13742542,6.3897,69.922161,0.063
DS Tuc A b,8.138268,DS Tuc A,-69.195747,8.469,1.01,5428.0,0.079427582,113.61817,831.7769,Neptunian,0.96,G,0.71678757,Hot,0,0.14622437,5.70589,27.616484,0.079427582
EPIC 205950854 c,8.050722,K2-168,-16.341755,12.291,0.88,5502.7,0.075317114,99.761011,805.16543,Terran,0.83,G,0.56591105,Hot,0,0.30040596,1.31157,2.2754822,0.075317114
EPIC 211822797 b,21.169861,EPIC 211822797,17.640005,15.256,0.66,4148.21,0.1312358,5.0317823,381.31313,Superterran,0.57,M,0.086194845,Hot,0,0.47295382,1.98417,4.5953145,0.131
EPIC 211945201 b,19.49221,EPIC 211945201,19.402252,10.154,1.17,6069.0,0.1493,105.35792,816.22841,Neptunian,1.39,G,2.3484796,Hot,0,0.14598589,5.76194,28.078642,0.1493
EPIC 212737443 b,13.603,EPIC 212737443,-7.318144,14.836,0.69,4684.0,0.09996,20.573967,538.46915,Neptunian,0.67,K,0.1936002,Hot,0,0.28611074,2.58951,7.2218056,0.098
EPIC 212737443 c,65.55,EPIC 212737443,-7.318144,14.836,0.69,4684.0,0.2856,2.5203109,318.56264,Neptunian,0.67,K,0.1936002,Hot,0,0.55484659,2.6904,7.7059808,0.28
EPIC 220674823 c,13.339079,EPIC 220674823,10.794699,12.102,0.97,5617.0,0.1091,71.962956,742.03119,Neptunian,0.98,G,0.85656139,Hot,0,0.23785034,2.73524,7.9252992,0.1091
EPIC 246865365 b,3.38628,EPIC 246865365,16.414202,14.963,1.09,6100.0,0.045408131,925.09025,1405.0473,Jovian,1.24,F,1.9074421,Hot,0,0.088231145,9.90964,70.499802,0.045408131
